Country,White,Gold,Black,Red,Green,Blue,Maroon,Coat of Arms,Circle,Crescent,Cross,Animal,Text,Plant,Star,Sun,Weapon or Tool,Area,Continent,Color Text(Hint1),Design Text(Hint2),Area Text(Hint3),Continent Text(Hint4),Image Code
Ethiopia,No,Yes,No,Yes,Yes,Yes,No,,Yes,,,,,,Yes,,,1104300,Africa,Flag got the following colours: Gold/Red/Green/Blue/,Flag got the following symbols: Circle/Star/,Country's Area is 1104300 sqkm,Country is in the Continent of Africa,Ethiopia
Fiji,Yes,Yes,No,Yes,Yes,Yes,No,Yes,,,Yes,White Pelican/Yellow Lion,,Yes,,,,18272,Oceania,Flag got the following colours: White/Gold/Red/Green/Blue/,Flag got the following symbols: Coat of Arms/Cross/White Pelican/Yellow Lion/Plant/,Country's Area is 18272 sqkm,Country is in the Continent of Oceania,Fiji
Finland,Yes,No,No,No,No,Yes,No,,,,Yes,,,,,,,338145,Europe,Flag got the following colours: White/Blue/,Flag got the following symbols: Cross/,Country's Area is 338145 sqkm,Country is in the Continent of Europe,Finland
France,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,643801,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 643801 sqkm,Country is in the Continent of Europe,France
Gabon,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,267668,Africa,Flag got the following colours: Gold/Green/Blue/,Flag got the following symbols: ,Country's Area is 267668 sqkm,Country is in the Continent of Africa,Gabon
Gambia,Yes,No,No,Yes,Yes,Yes,No,,,,,,,,,,,11295,Africa,Flag got the following colours: White/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 11295 sqkm,Country is in the Continent of Africa,Gambia
Georgia,Yes,No,No,Yes,No,No,No,,,,Yes,,,,,,,69700,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/,Country's Area is 69700 sqkm,Country is in the Continent of Asia,Georgia
Germany,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,357581,Europe,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: ,Country's Area is 357581 sqkm,Country is in the Continent of Europe,Germany
Ghana,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,238537,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 238537 sqkm,Country is in the Continent of Africa,Ghana
Greece,Yes,No,No,No,No,Yes,No,,,,Yes,,,,,,,131957,Europe,Flag got the following colours: White/Blue/,Flag got the following symbols: Cross/,Country's Area is 131957 sqkm,Country is in the Continent of Europe,Greece
Grenada,No,Yes,No,Yes,Yes,No,No,,Yes,,,,,Yes,Yes,,,345,North America,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Circle/Plant/Star/,Country's Area is 345 sqkm,Country is in the Continent of North America,Grenada
Guatemala,Yes,No,No,No,No,Yes,No,Yes,,,,Quetzal,Yes,,,,Yes,108889,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Coat of Arms/Quetzal/Text/Weapon/Tool/,Country's Area is 108889 sqkm,Country is in the Continent of North America,Guatemala
Guinea,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,245857,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 245857 sqkm,Country is in the Continent of Africa,Guinea
Guinea-Bissau,No,Yes,Yes,Yes,No,No,No,,,,,,,,Yes,,,36125,Africa,Flag got the following colours: Gold/Black/Red/,Flag got the following symbols: Star/,Country's Area is 36125 sqkm,Country is in the Continent of Africa,Guinea-Bissau
Guyana,Yes,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,214969,South America,Flag got the following colours: White/Gold/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 214969 sqkm,Country is in the Continent of South America,Guyana
Haiti,Yes,No,No,Yes,No,Yes,No,Yes,,,,,Yes,Yes,,,Yes,27750,North America,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Coat of Arms/Text/Plant/Weapon/Tool/,Country's Area is 27750 sqkm,Country is in the Continent of North America,Haiti
Honduras,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,112492,North America,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 112492 sqkm,Country is in the Continent of North America,Honduras
Hungary,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,93025,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 93025 sqkm,Country is in the Continent of Europe,Hungary
Iceland,Yes,No,No,Yes,No,Yes,No,,,,Yes,,,,,,,103000,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Cross/,Country's Area is 103000 sqkm,Country is in the Continent of Europe,Iceland
India,Yes,Yes,No,No,Yes,Yes,No,,Yes,,,,,,,,Yes,3287263,Asia,Flag got the following colours: White/Gold/Green/Blue/,Flag got the following symbols: Circle/Weapon/Tool/,Country's Area is 3287263 sqkm,Country is in the Continent of Asia,India
Indonesia,Yes,No,No,Yes,No,No,No,,,,,,,,,,,1904569,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 1904569 sqkm,Country is in the Continent of Asia,Indonesia
Iran,Yes,No,No,Yes,Yes,No,No,,,,,,Yes,,,,,1648195,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Text/,Country's Area is 1648195 sqkm,Country is in the Continent of Asia,Iran
Iraq,Yes,No,Yes,Yes,Yes,No,No,,,,,,Yes,,,,,438317,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Text/,Country's Area is 438317 sqkm,Country is in the Continent of Asia,Iraq
Ireland,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,70273,Europe,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: ,Country's Area is 70273 sqkm,Country is in the Continent of Europe,Ireland
Israel,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,21937,Asia,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 21937 sqkm,Country is in the Continent of Asia,Israel
Italy,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,302068,Europe,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 302068 sqkm,Country is in the Continent of Europe,Italy
Ivory Coast,Yes,Yes,No,No,Yes,No,No,,,,,,,,,,,322462,Africa,Flag got the following colours: White/Gold/Green/,Flag got the following symbols: ,Country's Area is 322462 sqkm,Country is in the Continent of Africa,Ivory Coast
Jamaica,No,Yes,Yes,No,Yes,No,No,,,,Yes,,,,,,,10991,North America,Flag got the following colours: Gold/Black/Green/,Flag got the following symbols: Cross/,Country's Area is 10991 sqkm,Country is in the Continent of North America,Jamaica
Japan,Yes,No,No,Yes,No,No,No,,Yes,,,,,,,,,377915,Asia,Flag got the following colours: White/Red/,Flag got the following symbols: Circle/,Country's Area is 377915 sqkm,Country is in the Continent of Asia,Japan
Jordan,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,Yes,,,89318,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Star/,Country's Area is 89318 sqkm,Country is in the Continent of Asia,Jordan
Kazakhstan,No,Yes,No,No,No,Yes,No,,Yes,,,Steppe Eagle,,,,Yes,,2724910,Asia,Flag got the following colours: Gold/Blue/,Flag got the following symbols: Circle/Steppe Eagle/Sun/,Country's Area is 2724910 sqkm,Country is in the Continent of Asia,Kazakhstan
Kenya,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,Yes,580367,Africa,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Weapon/Tool/,Country's Area is 580367 sqkm,Country is in the Continent of Africa,Kenya
Kiribati,Yes,Yes,No,Yes,No,Yes,No,,,,,Frigatebird,,,,Yes,,811,Oceania,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Frigatebird/Sun/,Country's Area is 811 sqkm,Country is in the Continent of Oceania,Kiribati
Kuwait,Yes,No,Yes,Yes,Yes,No,No,,,,,,,,,,,17818,Asia,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: ,Country's Area is 17818 sqkm,Country is in the Continent of Asia,Kuwait
Kyrgyzstan,No,Yes,No,Yes,No,No,No,,,,,,,,,Yes,,199949,Asia,Flag got the following colours: Gold/Red/,Flag got the following symbols: Sun/,Country's Area is 199949 sqkm,Country is in the Continent of Asia,Kyrgyzstan
Laos,Yes,No,No,Yes,No,Yes,No,,Yes,,,,,,,,,236800,Asia,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Circle/,Country's Area is 236800 sqkm,Country is in the Continent of Asia,Laos
Latvia,Yes,No,No,No,No,No,Yes,,,,,,,,,,,64594,Europe,Flag got the following colours: White/Maroon/,Flag got the following symbols: ,Country's Area is 64594 sqkm,Country is in the Continent of Europe,Latvia
Lebanon,Yes,No,No,Yes,Yes,No,No,,,,,,,Yes,,,,10452,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Plant/,Country's Area is 10452 sqkm,Country is in the Continent of Asia,Lebanon
Lesotho,Yes,No,Yes,No,Yes,Yes,No,,,,,,,,,,,30355,Africa,Flag got the following colours: White/Black/Green/Blue/,Flag got the following symbols: ,Country's Area is 30355 sqkm,Country is in the Continent of Africa,Lesotho
Liberia,Yes,No,No,Yes,No,Yes,No,,,,,,,,Yes,,,111369,Africa,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: Star/,Country's Area is 111369 sqkm,Country is in the Continent of Africa,Liberia
Libya,Yes,No,Yes,Yes,Yes,No,No,,,Yes,,,,,Yes,,,1759540,Africa,Flag got the following colours: White/Black/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 1759540 sqkm,Country is in the Continent of Africa,Libya
Liechtenstein,No,Yes,No,Yes,No,Yes,No,,,,,,,,,,,160,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: ,Country's Area is 160 sqkm,Country is in the Continent of Europe,Liechtenstein
Lithuania,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,65286,Europe,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 65286 sqkm,Country is in the Continent of Europe,Lithuania
Luxembourg,Yes,No,No,Yes,No,Yes,No,,,,,,,,,,,2586,Europe,Flag got the following colours: White/Red/Blue/,Flag got the following symbols: ,Country's Area is 2586 sqkm,Country is in the Continent of Europe,Luxembourg
Madagascar,Yes,No,No,Yes,Yes,No,No,,,,,,,,,,,587041,Africa,Flag got the following colours: White/Red/Green/,Flag got the following symbols: ,Country's Area is 587041 sqkm,Country is in the Continent of Africa,Madagascar
Malawi,No,No,Yes,Yes,Yes,No,No,,,,,,,,,Yes,,118484,Africa,Flag got the following colours: Black/Red/Green/,Flag got the following symbols: Sun/,Country's Area is 118484 sqkm,Country is in the Continent of Africa,Malawi
Malaysia,Yes,Yes,No,Yes,No,Yes,No,,,Yes,,,,,Yes,,,329847,Asia,Flag got the following colours: White/Gold/Red/Blue/,Flag got the following symbols: Crescent/Star/,Country's Area is 329847 sqkm,Country is in the Continent of Asia,Malaysia
Maldives,Yes,No,No,Yes,Yes,No,No,,,Yes,,,,,,,,300,Asia,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Crescent/,Country's Area is 300 sqkm,Country is in the Continent of Asia,Maldives
Mali,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,1240192,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: ,Country's Area is 1240192 sqkm,Country is in the Continent of Africa,Mali
Malta,Yes,No,No,Yes,No,No,No,,,,Yes,Horse/Dragon,Yes,,,,,315,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: Cross/Horse/Dragon/Text/,Country's Area is 315 sqkm,Country is in the Continent of Europe,Malta
Marshall Islands,Yes,Yes,No,No,No,Yes,No,,,,,,,,Yes,Yes,,181,Oceania,Flag got the following colours: White/Gold/Blue/,Flag got the following symbols: Star/Sun/,Country's Area is 181 sqkm,Country is in the Continent of Oceania,Marshall Islands
Mauritania,No,Yes,No,Yes,Yes,No,No,,,Yes,,,,,Yes,,,1030700,Africa,Flag got the following colours: Gold/Red/Green/,Flag got the following symbols: Crescent/Star/,Country's Area is 1030700 sqkm,Country is in the Continent of Africa,Mauritania
Mauritius,No,Yes,No,Yes,Yes,Yes,No,,,,,,,,,,,2040,Africa,Flag got the following colours: Gold/Red/Green/Blue/,Flag got the following symbols: ,Country's Area is 2040 sqkm,Country is in the Continent of Africa,Mauritius
Mexico,Yes,No,No,Yes,Yes,No,No,Yes,,,,Eagle/Snake,,Yes,,,,1964375,North America,Flag got the following colours: White/Red/Green/,Flag got the following symbols: Coat of Arms/Eagle/Snake/Plant/,Country's Area is 1964375 sqkm,Country is in the Continent of North America,Mexico
Micronesia,Yes,No,No,No,No,Yes,No,,,,,,,,Yes,,,702,Oceania,Flag got the following colours: White/Blue/,Flag got the following symbols: Star/,Country's Area is 702 sqkm,Country is in the Continent of Oceania,Micronesia
Moldova,No,Yes,No,Yes,No,Yes,No,Yes,,Yes,,Eagle/Aurochs,,,,,,33847,Europe,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Coat of Arms/Crescent/Eagle/Aurochs/,Country's Area is 33847 sqkm,Country is in the Continent of Europe,Moldova
Monaco,Yes,No,No,Yes,No,No,No,,,,,,,,,,,2,Europe,Flag got the following colours: White/Red/,Flag got the following symbols: ,Country's Area is 2 sqkm,Country is in the Continent of Europe,Monaco
Mongolia,No,Yes,No,Yes,No,Yes,No,,Yes,Yes,,,,,,,,1564116,Asia,Flag got the following colours: Gold/Red/Blue/,Flag got the following symbols: Circle/Crescent/,Country's Area is 1564116 sqkm,Country is in the Continent of Asia,Mongolia
Montenegro,No,Yes,No,Yes,No,No,No,Yes,,,,Double Headed Eagle/Lion,,,,,,13812,Europe,Flag got the following colours: Gold/Red/,Flag got the following symbols: Coat of Arms/Double Headed Eagle/Lion/,Country's Area is 13812 sqkm,Country is in the Continent of Europe,Montenegro
Morocco,No,No,No,Yes,Yes,No,No,,,,,,,,Yes,,,446550,Africa,Flag got the following colours: Red/Green/,Flag got the following symbols: Star/,Country's Area is 446550 sqkm,Country is in the Continent of Africa,Morocco
